duration,packet_count,byte_count,port,protocol,attack_type
3.93,105,101430,443,1,0
1.66,87,127020,443,2,0
4.04,36,6768,80,2,0
35.21,885,182310,22,1,2
0.26,55,24475,443,1,0
0.51,140,186340,80,2,0
1.06,126,138222,80,2,0
2.86,48,51360,80,1,0
2.23,142,21158,443,1,0
2.79,92,63940,443,1,0
3.6,99,46728,80,2,0
4.99,10,3880,443,2,0
4.44,148,103600,80,2,0
2.66,128,89984,80,1,0
4.97,96,103392,80,2,0
0.86,26,22360,443,2,0
0.11,4476,286464,30320,1,3
3.9,34,25772,80,2,0
1.72,91,133133,443,2,0
0.77,50,42600,443,2,0
0.57,3060,195840,29525,1,3
38.43,1181,342490,22,1,2
2.51,68,12988,443,1,0
3.72,53,78546,443,2,0
32.24,573,73344,22,1,2
1.76,24,11016,443,2,0
3.76,51,4590,443,1,0
1.94,69,62652,443,2,0
3.19,141,187812,443,1,0
23.92,1653,226461,22,1,2
0.82,4724,302336,52792,1,3
2.34,39,28899,80,1,0
1.75,135,26055,80,1,0
4.53,132,167244,443,2,0
11.6,8915,534900,80,1,1
38.8,1767,372837,22,1,2
37.86,1116,141732,22,1,2
13.14,17333,918649,80,1,1
4.33,72,49608,80,2,0
4.69,89,97811,80,1,0
4.37,66,56430,443,2,0
30.93,518,143486,22,1,2
0.63,83,73123,443,1,0
0.77,54,50274,80,1,0
3.4,25,5400,80,2,0
2.0,73,98331,443,1,0
3.57,65,38935,80,1,0
1.73,125,168250,80,1,0
1.67,61,65575,80,2,0
1.42,71,50339,80,2,0
4.62,46,20240,443,2,0
4.47,30,15480,80,1,0
14.27,14064,843840,80,1,1
3.78,115,148120,80,2,0
2.65,16,10384,80,2,0
12.13,17530,1349810,80,1,1
2.22,61,54168,80,2,0
27.95,1512,244944,22,1,2
1.21,87,20184,80,2,0
2.44,66,34584,443,1,0
3.36,145,144420,443,1,0
4.78,102,133620,443,1,0
4.85,73,14308,80,2,0
2.49,19,15903,80,2,0
1.76,3894,249216,63456,1,3
4.5,83,114872,443,1,0
34.87,1455,212430,22,1,2
4.68,51,54009,80,1,0
17.71,13195,910455,80,1,1
3.49,17,1853,443,1,0
1.75,38,51870,80,2,0
1.56,146,32412,80,1,0
4.45,70,8260,443,1,0
10.64,18362,1781114,80,1,1
4.63,149,221414,443,2,0
3.88,107,138565,443,1,0
4.02,64,83968,443,1,0
4.76,48,65184,443,1,0
1.88,1282,82048,36797,1,3
0.21,3130,200320,57374,1,3
1.91,3318,212352,54757,1,3
3.11,91,100009,80,2,0
0.93,114,37392,443,2,0
0.74,2484,158976,37160,1,3
1.83,10,10070,80,2,0
1.84,4911,314304,4682,1,3
1.3,3892,249088,60757,1,3
44.74,1091,292388,22,1,2
4.77,59,85373,80,2,0
2.42,69,80937,443,1,0
28.48,772,104992,22,1,2
1.46,135,109755,80,2,0
3.39,141,193875,443,1,0
2.83,102,107406,80,1,0
0.15,3389,216896,31181,1,3
4.9,111,120546,443,1,0
4.08,98,13622,443,2,0
1.68,54,59832,443,2,0
0.11,78,112008,443,1,0
0.57,2905,185920,2800,1,3
0.94,131,28165,80,2,0
4.55,127,97282,80,1,0
58.04,1836,249696,22,1,2
18.33,15674,1473356,80,1,1
0.33,56,39032,443,2,0
15.3,7083,460395,80,1,1
3.96,19,5871,80,2,0
2.86,94,57058,80,1,0
31.42,1412,395360,22,1,2
58.43,879,231177,22,1,2
56.74,777,152292,22,1,2
0.12,1937,123968,24736,1,3
2.22,44,45232,80,1,0
2.39,74,98864,80,2,0
5.3,8365,368060,80,1,1
4.34,95,88160,80,2,0
18.29,6473,582570,80,1,1
14.74,13993,727636,80,1,1
22.79,1626,463410,22,1,2
1.86,37,3663,443,1,0
2.68,95,138510,80,2,0
3.9,132,40392,443,2,0
2.17,134,30954,443,2,0
2.63,80,17440,80,2,0
0.69,84,28728,80,2,0
0.45,82,13776,80,2,0
1.42,10,7040,443,2,0
3.1,55,30690,80,2,0
4.08,67,20569,80,1,0
3.77,97,79540,80,1,0
18.25,1682,450776,22,1,2
4.7,68,66504,443,1,0
2.72,59,85019,80,1,0
4.82,20,7420,80,1,0
7.87,16903,1335337,80,1,1
2.16,92,94116,80,1,0
4.92,26,25376,80,2,0
2.82,62,80724,443,1,0
1.41,113,133679,443,1,0
0.33,72,98928,80,1,0
4.59,97,83905,80,2,0
0.46,32,39712,443,2,0
16.63,18768,863328,80,1,1
0.55,2197,140608,64784,1,3
1.59,18,2916,443,2,0
2.51,60,4380,80,2,0
19.16,17960,826160,80,1,1
0.22,86,111714,443,1,0
4.03,64,54464,443,2,0
2.57,107,114811,443,2,0
0.15,33,49335,443,1,0
0.64,2752,176128,34095,1,3
27.11,1343,339779,22,1,2
4.96,110,50710,80,1,0
1.8,34,43044,443,1,0
1.87,35,43575,443,1,0
3.14,142,65604,80,2,0
0.41,10,14780,80,2,0
3.92,121,9438,443,2,0
19.38,18491,1109460,80,1,1
4.98,15,20040,443,2,0
2.6,81,19845,80,2,0
1.66,4584,293376,5586,1,3
19.15,13729,919843,80,1,1
1.28,62,72106,443,1,0
0.18,71,47783,443,1,0
2.86,16,12720,443,1,0
2.93,98,66346,80,1,0
3.83,108,35208,443,2,0
5.38,11994,899550,80,1,1
0.6,142,71426,80,2,0
0.22,122,121756,443,2,0
0.42,142,48990,80,1,0
1.78,67,74102,443,2,0
17.34,1771,203665,22,1,2
9.84,14831,1334790,80,1,1
2.56,94,14194,80,1,0
3.84,13,11089,80,1,0
1.87,83,44488,80,2,0
4.71,57,48279,443,1,0
3.2,72,63864,443,2,0
3.79,81,20817,443,1,0
0.36,100,128700,443,2,0
2.28,126,31500,80,2,0
1.51,102,123624,443,1,0
1.48,124,130572,80,2,0
4.82,97,101850,80,2,0
2.41,89,67551,80,1,0
2.96,16,3248,443,1,0
17.94,769,93818,22,1,2
3.55,57,64581,443,2,0
0.43,91,134953,443,2,0
1.59,25,32350,80,1,0
2.98,146,67890,443,2,0
1.11,54,75870,80,2,0
0.62,45,51255,80,2,0
0.35,4293,274752,22571,1,3
3.67,123,61623,80,2,0
0.27,56,5320,80,1,0
0.38,97,137643,80,1,0
2.67,144,36000,443,2,0
4.98,32,12992,443,1,0
1.14,3235,207040,2530,1,3
1.62,22,8184,80,2,0
0.49,3269,209216,26373,1,3
1.38,1902,121728,31221,1,3
3.6,35,45920,80,2,0
4.47,104,11024,80,2,0
0.81,70,34300,443,2,0
0.69,100,62500,443,1,0
3.33,148,187368,443,2,0
0.2,100,133200,80,2,0
2.42,123,69864,443,2,0
1.84,133,187397,80,2,0
33.78,862,250842,22,1,2
1.78,29,19140,443,2,0
16.25,1720,213280,22,1,2
3.76,99,145629,80,2,0
3.21,133,94430,443,2,0
1.55,122,9272,80,1,0
2.25,94,93812,80,1,0
14.41,1740,238380,22,1,2
11.76,7147,536025,80,1,1
25.54,1671,322503,22,1,2
0.2,39,3822,443,2,0
4.88,90,37890,80,2,0
5.49,19846,813686,80,1,1
23.51,1972,351016,22,1,2
1.34,3328,212992,16522,1,3
2.81,98,117992,443,2,0
1.14,83,25730,443,2,0
15.47,16568,762128,80,1,1
4.08,111,146298,80,1,0
0.82,2860,183040,52971,1,3
16.42,1536,382464,22,1,2
0.75,74,74518,443,1,0
12.02,10268,1016532,80,1,1
7.18,17697,1628124,80,1,1
3.82,56,43064,80,1,0
1.42,1884,120576,43281,1,3
3.08,102,21726,80,1,0
20.35,1959,295809,22,1,2
0.42,22,17644,443,1,0
50.97,1787,498573,22,1,2
1.55,16,4048,443,2,0
3.88,68,7072,80,1,0
1.48,2704,173056,46592,1,3
4.47,54,50544,80,2,0
4.43,128,108672,443,2,0
1.09,2176,139264,7544,1,3
0.59,3073,196672,6722,1,3
3.15,64,63936,80,1,0
4.86,82,27060,80,2,0
1.66,20,15460,80,2,0
3.98,13,14326,443,1,0
0.22,77,62986,443,1,0
0.75,65,70265,80,2,0
6.26,7016,336768,80,1,1
8.14,15595,1356765,80,1,1
16.51,16777,1291829,80,1,1
1.59,116,86072,80,1,0
3.02,64,62976,443,1,0
1.57,55,79365,80,2,0
1.79,69,18147,80,2,0
2.04,20,6900,443,2,0
25.19,1886,281014,22,1,2
3.48,78,16536,80,1,0
2.22,49,65562,80,2,0
0.76,119,31773,443,1,0
17.36,17054,1313158,80,1,1
3.56,62,14756,443,1,0
1.2,148,16576,80,2,0
3.63,77,34419,443,1,0
6.08,6240,336960,80,1,1
4.65,98,29890,80,1,0
12.69,1329,376107,22,1,2
17.93,7740,348300,80,1,1
3.57,143,98241,443,1,0
1.19,100,129200,80,1,0
0.34,4607,294848,50062,1,3
0.11,62,73532,80,2,0
4.46,22,32010,80,2,0
28.95,964,231360,22,1,2
1.81,2756,176384,35326,1,3
0.51,2359,150976,31044,1,3
19.65,7293,306306,80,1,1
0.48,49,67963,80,2,0
4.95,96,45504,443,2,0
15.86,8082,573822,80,1,1
4.89,73,64532,443,2,0
3.13,51,48246,443,2,0
1.59,1454,93056,34059,1,3
2.16,18,8604,443,1,0
3.67,103,98262,443,1,0
1.04,79,60198,443,1,0
1.7,49,52332,80,1,0
2.4,98,83300,80,2,0
1.81,31,3999,443,1,0
2.79,119,25466,80,2,0
3.97,146,201334,443,2,0
14.51,6949,486430,80,1,1
2.76,50,51450,443,2,0
1.5,2699,172736,31864,1,3
4.75,61,18239,80,2,0
4.92,141,200502,80,2,0
51.93,1982,558924,22,1,2
2.92,127,182372,443,1,0
0.71,3784,242176,36879,1,3
2.89,83,113046,80,1,0
1.6,3802,243328,38594,1,3
4.93,77,60368,443,2,0
26.16,1269,247455,22,1,2
0.41,62,52204,80,1,0
1.31,1573,100672,56210,1,3
4.79,57,75639,80,1,0
4.17,45,27855,80,1,0
1.99,2795,178880,47345,1,3
4.58,33,46167,80,1,0
0.64,112,32256,443,2,0
0.72,15,18675,443,1,0
3.18,19,13528,443,1,0
0.45,139,76033,80,1,0
4.68,143,142285,80,2,0
0.83,1970,126080,38388,1,3
3.42,101,126048,443,1,0
1.92,96,30048,80,2,0
1.14,1751,112064,57761,1,3
41.67,853,201308,22,1,2
1.33,112,110880,443,2,0
2.01,125,65250,80,2,0
1.55,100,7100,80,2,0
2.9,58,17748,443,1,0
4.92,101,148672,443,1,0
1.87,32,20544,80,1,0
3.84,117,23400,443,1,0
1.09,98,102214,80,2,0
1.94,1865,119360,52816,1,3
1.02,4161,266304,34845,1,3
1.75,16,13184,443,2,0
3.28,28,27720,80,1,0
3.64,133,133000,80,2,0
58.45,896,214144,22,1,2
4.22,74,19462,443,1,0
4.13,143,168454,443,2,0
1.13,4489,287296,46335,1,3
22.44,1928,487784,22,1,2
0.98,4893,313152,25857,1,3
19.47,15195,683775,80,1,1
3.27,107,20223,443,2,0
4.64,32,12288,443,2,0
1.99,4648,297472,63032,1,3
33.27,1572,158772,22,1,2
2.2,99,127611,443,2,0
0.3,56,32536,443,1,0
4.35,87,16617,80,1,0
55.69,580,167040,22,1,2
2.0,3854,246656,28744,1,3
0.49,87,59943,443,2,0
4.18,102,84456,80,1,0
2.3,149,123819,443,2,0
1.94,3070,196480,24981,1,3
36.99,1894,441302,22,1,2
53.41,1719,230346,22,1,2
4.97,97,99231,80,2,0
4.6,12,2112,443,2,0
0.82,33,34419,80,2,0
3.96,128,150656,443,2,0
32.23,714,143514,22,1,2
13.23,1719,373023,22,1,2
1.28,4935,315840,50136,1,3
0.21,3291,210624,16514,1,3
2.13,125,118875,443,1,0
14.3,14657,996676,80,1,1
1.38,1053,67392,37824,1,3
10.97,722,185554,22,1,2
3.6,51,56253,443,2,0
3.76,145,138040,443,1,0
4.95,95,140220,80,2,0
0.52,2759,176576,33538,1,3
3.83,80,101760,80,1,0
1.13,62,31558,443,1,0
4.87,64,4480,80,1,0
0.75,22,26928,80,1,0
1.91,78,101166,80,2,0
3.13,57,50787,80,2,0
2.03,81,102465,80,1,0
2.96,99,82764,443,2,0
12.61,10163,995974,80,1,1
3.01,86,26660,80,2,0
27.48,1745,432760,22,1,2
0.39,69,94530,80,2,0
0.14,108,59832,443,1,0
15.11,849,247059,22,1,2
2.37,127,58166,443,2,0
4.68,55,60995,443,2,0
1.39,131,72705,443,2,0
16.02,19048,1066688,80,1,1
4.12,22,18942,80,2,0
18.64,16654,1299012,80,1,1
1.77,139,23769,80,2,0
2.71,81,79461,80,2,0
4.52,51,26928,443,1,0
3.68,120,157800,80,1,0
1.38,105,151305,80,2,0
3.47,124,23560,443,1,0
4.85,26,33462,80,2,0
1.71,2815,180160,45155,1,3
4.89,124,73656,443,2,0
2.56,28,11844,443,1,0
13.81,14799,651156,80,1,1
2.19,29,21257,80,2,0
3.0,64,21632,80,2,0
40.59,785,171130,22,1,2
0.94,3022,193408,33656,1,3
1.01,132,104280,443,1,0
1.47,2616,167424,7074,1,3
3.57,67,100299,80,1,0
2.99,65,75920,443,2,0
0.27,56,49784,80,2,0
0.42,4226,270464,44492,1,3
4.54,109,120118,80,1,0
0.57,10,5360,80,1,0
2.69,139,158738,443,2,0
4.28,129,55986,80,2,0
3.27,41,10742,80,1,0
4.9,94,110732,80,2,0
1.49,21,18312,443,2,0
2.19,100,65800,80,2,0
2.89,61,75274,443,1,0
0.46,20,14280,443,2,0
4.02,89,11570,80,1,0
0.14,117,151515,443,1,0
36.13,569,63159,22,1,2
4.29,100,8000,443,1,0
3.36,73,74606,443,1,0
2.85,10,5750,80,2,0
0.9,23,4761,80,2,0
4.84,117,86463,443,1,0
3.51,14,12110,443,2,0
4.48,107,104860,443,2,0
1.77,138,202170,443,2,0
1.63,42,20706,80,2,0
4.85,117,100035,80,2,0
3.04,41,5576,80,1,0
3.16,125,113250,80,1,0
3.15,95,33630,80,1,0
2.55,106,84588,443,1,0
0.25,136,81056,80,2,0
1.06,108,73116,443,1,0
12.42,13534,920312,80,1,1
1.27,66,26598,443,2,0
2.84,106,113420,80,2,0
47.95,1939,513835,22,1,2
1.78,4057,259648,7365,1,3
1.37,102,120768,80,1,0
1.21,79,9796,80,1,0
30.01,1519,194432,22,1,2
18.55,18546,1780416,80,1,1
1.19,143,205777,80,2,0
0.29,64,68608,443,1,0
2.62,124,29512,443,2,0
4.98,111,104118,80,1,0
4.05,43,62866,80,1,0
0.5,127,109601,80,2,0
0.34,40,10040,443,1,0
18.37,15211,882238,80,1,1
2.16,36,32904,80,2,0
3.73,108,33480,443,2,0
7.73,18053,794332,80,1,1
39.44,658,156604,22,1,2
0.96,74,14134,443,2,0
2.66,130,101920,443,2,0
2.9,100,91300,443,2,0
1.76,41,3936,80,2,0
1.61,106,40280,443,1,0
3.17,84,93912,80,2,0
2.39,89,22161,80,2,0
4.68,54,5346,80,1,0
3.42,68,17272,80,1,0
4.09,63,87066,80,1,0
3.66,92,39836,80,1,0
0.9,59,43542,443,1,0
4.46,41,59942,443,2,0
33.02,1888,303968,22,1,2
3.12,100,78600,443,2,0
0.2,43,34056,80,1,0
10.43,12346,765452,80,1,1
4.27,111,161616,80,1,0
4.21,147,134799,80,2,0
4.64,75,52725,443,1,0
3.46,12,2880,443,2,0
17.96,15923,1433070,80,1,1
4.71,37,20424,443,2,0
0.69,24,25344,80,1,0
2.1,150,137700,80,1,0
3.3,77,30415,443,1,0
4.71,47,47141,443,2,0
1.69,14,4494,443,2,0
3.68,104,59696,80,1,0
0.59,3905,249920,64885,1,3
1.27,59,71508,443,2,0
2.02,95,84170,443,1,0
2.2,108,55080,443,1,0
0.33,144,92160,80,2,0
3.04,61,60512,443,1,0
2.82,22,20702,80,1,0
2.83,20,5920,80,1,0
1.92,132,129360,443,1,0
0.43,101,149783,443,2,0
38.74,1160,330600,22,1,2
4.33,36,15300,443,2,0
0.2,133,10374,443,2,0
2.75,130,86450,443,2,0
1.34,4221,270144,62655,1,3
0.43,20,22440,443,1,0
2.33,140,143220,80,2,0
0.97,4882,312448,2359,1,3
17.16,551,114608,22,1,2
28.66,1870,405790,22,1,2
0.41,123,131979,443,1,0
4.29,133,128079,80,2,0
1.08,108,28728,443,2,0
1.16,1518,97152,30787,1,3
4.04,142,117292,443,2,0
0.18,80,104240,80,1,0
2.18,110,56430,80,2,0
19.95,8279,720273,80,1,1
3.8,56,19992,443,2,0
0.87,90,86400,80,1,0
0.25,79,18644,443,1,0
2.33,117,106470,80,2,0
0.65,90,24300,443,1,0
2.02,44,46244,80,1,0
1.44,139,77006,80,2,0
3.32,20,10180,80,1,0
4.33,141,91932,80,1,0
4.48,109,58315,443,2,0
2.83,81,85050,80,2,0
2.08,39,40365,443,1,0
2.2,40,47160,443,2,0
1.84,48,46656,80,2,0
0.57,47,27448,443,1,0
4.18,80,40960,80,2,0
1.44,1391,89024,2968,1,3
1.24,132,196416,80,1,0
21.43,1763,334970,22,1,2
2.77,125,151750,443,2,0
3.18,110,55660,80,1,0
19.29,15450,1390500,80,1,1
4.79,135,179010,443,2,0
0.3,123,132594,80,1,0
2.46,104,72488,443,1,0
0.21,141,47799,443,2,0
1.22,4107,262848,12590,1,3
17.42,1566,374274,22,1,2
1.15,3208,205312,54074,1,3
4.04,71,35074,80,1,0
10.8,15256,640752,80,1,1
0.41,4804,307456,19618,1,3
0.71,113,64184,80,2,0
0.66,119,163268,80,2,0
15.44,15947,797350,80,1,1
4.75,146,47012,443,2,0
54.76,1041,170724,22,1,2
2.07,94,95316,80,1,0
5.32,9115,410175,80,1,1
2.4,19,22325,80,2,0
1.08,54,24408,80,2,0
1.57,74,29822,443,1,0
42.14,994,227626,22,1,2
0.97,59,40356,80,1,0
4.13,62,17856,80,1,0
3.95,90,116010,80,1,0
47.44,1835,427555,22,1,2
2.32,26,18460,443,1,0
55.84,951,104610,22,1,2
1.28,42,59850,80,1,0
2.11,32,13696,80,2,0
1.91,55,8360,443,1,0
4.73,69,28152,80,2,0
17.62,7906,434830,80,1,1
1.3,10,13810,80,1,0
4.4,105,100485,443,1,0
15.47,1802,277508,22,1,2
0.32,126,36162,443,2,0
0.44,124,131192,443,1,0
1.85,4128,264192,64872,1,3
2.76,139,128436,443,1,0
0.9,139,198075,80,1,0
1.05,2408,154112,35276,1,3
0.53,90,31680,443,1,0
3.42,24,20232,443,2,0
2.94,13,10751,443,2,0
18.65,5721,532053,80,1,1
0.63,88,47168,443,1,0
4.01,56,7728,443,1,0
11.77,764,79456,22,1,2
6.67,18612,1433124,80,1,1
4.99,120,144240,443,2,0
2.48,137,165085,80,2,0
0.99,18,8316,80,1,0
12.0,11998,1055824,80,1,1
4.44,129,119196,80,2,0
2.51,28,35168,443,1,0
8.21,8536,682880,80,1,1
51.67,1553,396015,22,1,2
4.81,109,102351,443,1,0
20.3,977,285284,22,1,2
4.13,102,118320,80,1,0
58.25,528,113520,22,1,2
3.31,111,156954,443,2,0
2.62,84,92736,443,1,0
12.2,9952,626976,80,1,1
3.94,112,67872,80,1,0
0.97,144,197280,443,1,0
8.2,8412,386952,80,1,1
10.27,8921,883179,80,1,1
0.19,146,122494,443,1,0
3.13,57,36708,80,1,0
1.55,50,50900,443,2,0
3.24,58,49532,443,1,0
4.98,148,216376,443,2,0
0.15,75,92475,443,2,0
0.55,1963,125632,57744,1,3
0.86,116,14732,443,1,0
2.44,131,29082,80,1,0
1.27,46,14076,443,2,0
1.89,3546,226944,4349,1,3
3.79,10,6490,443,1,0
1.9,117,52533,80,2,0
2.52,35,29470,80,1,0
1.53,66,81378,443,2,0
2.84,139,83539,443,1,0
10.67,1074,208356,22,1,2
1.31,3880,248320,26629,1,3
0.83,89,100036,80,2,0
4.23,138,91080,443,1,0
0.71,2756,176384,63742,1,3
9.48,10767,667554,80,1,1
2.39,41,47560,443,2,0
3.69,41,26076,443,2,0
3.21,12,9840,80,2,0
3.13,119,170765,80,1,0
9.95,13552,1097712,80,1,1
0.91,1088,69632,7499,1,3
0.42,2586,165504,33041,1,3
0.61,85,93415,443,1,0
4.67,103,25750,443,1,0
0.42,1082,69248,18104,1,3
45.79,1392,180960,22,1,2
4.46,52,13780,80,2,0
1.26,4493,287552,23200,1,3
54.19,1807,365014,22,1,2
2.5,109,20492,80,1,0
2.46,90,127710,80,1,0
3.24,23,19159,443,2,0
4.52,13,6383,80,1,0
2.43,86,33368,443,1,0
28.31,1391,169702,22,1,2
4.91,98,52920,80,1,0
2.66,59,87202,80,1,0
2.07,71,78242,80,1,0
3.14,67,11189,80,1,0
1.01,2786,178304,26213,1,3
4.03,107,21935,80,2,0
2.48,125,127750,80,1,0
12.41,15827,759696,80,1,1
0.79,48,50544,443,2,0
1.45,18,23976,80,1,0
2.11,98,123676,80,2,0
3.58,112,62720,80,1,0
3.21,104,69056,80,1,0
1.83,11,5445,443,1,0
4.05,46,26588,80,1,0
0.16,1991,127424,49219,1,3
4.99,24,5424,443,1,0
0.37,61,53741,80,2,0
2.12,99,59598,443,2,0
1.69,76,13300,80,2,0
4.24,146,96506,80,2,0
1.63,38,12730,80,2,0
0.58,3942,252288,27825,1,3
2.42,18,9990,443,2,0
2.53,132,101640,443,2,0
0.95,141,78960,80,1,0
1.45,4189,268096,49645,1,3
1.6,118,175820,80,1,0
2.47,49,52283,443,2,0
4.92,63,77049,80,1,0
12.79,14152,721752,80,1,1
0.99,130,38480,443,1,0
17.98,1367,306208,22,1,2
0.7,141,52593,443,2,0
4.09,22,4026,443,2,0
3.41,79,36814,443,2,0
2.99,12,6984,443,2,0
3.34,30,3690,80,2,0
3.0,19,11115,80,1,0
7.73,11116,800352,80,1,1
2.78,116,109504,80,2,0
3.39,128,17152,80,1,0
1.18,46,4968,80,2,0
2.02,14,5236,443,2,0
3.74,34,45526,80,2,0
3.39,115,165485,443,1,0
3.02,75,32175,80,1,0
23.81,1448,335936,22,1,2
1.78,1246,79744,60255,1,3
1.5,39,44304,80,1,0
2.01,136,154632,443,2,0
1.93,31,20553,80,2,0
4.58,73,35843,443,2,0
1.06,14,16856,80,2,0
3.69,48,56688,80,1,0
14.6,10301,628361,80,1,1
0.66,33,24585,443,1,0
4.36,54,31968,80,2,0
2.68,29,7163,443,2,0
1.84,134,199794,80,2,0
0.65,30,34380,80,1,0
1.96,20,2740,80,2,0
0.85,12,11796,443,1,0
5.83,14124,974556,80,1,1
1.39,96,29664,80,1,0
1.33,61,9272,443,1,0
1.1,121,39809,80,2,0
2.75,114,35682,443,1,0
3.24,21,29946,80,2,0
7.07,19384,891664,80,1,1
42.9,822,102750,22,1,2
25.54,705,191055,22,1,2
2.97,46,11730,80,2,0
0.1,136,108800,443,2,0
2.18,54,56376,443,2,0
0.32,150,136650,443,2,0
12.41,718,77544,22,1,2
1.29,78,25350,443,2,0
4.91,22,13222,443,2,0
2.88,136,123624,443,2,0
1.08,58,77546,80,1,0
3.19,124,47368,443,2,0
4.04,150,216750,80,2,0
3.42,68,66028,80,1,0
36.35,508,109728,22,1,2
